Layer Name,Op Type,Inputs,Outputs
re_lu_14_clip,Clip,"tf_op_layer_add_6/add_6:0['None', 300, 12, 24], clip_min1Unknown","re_lu_14/Relu:0['None', 300, 12, 24]"
res5b_branch2a,Conv,"re_lu_14/Relu:0['None', 300, 12, 24], res5b_branch2a_W_newUnknown, res5b_branch2a_B_newUnknown","convolution_output3['None', 300, 12, 24]"
re_lu_15_clip,Clip,"convolution_output3['None', 300, 12, 24], clip_min2Unknown","re_lu_15/Relu:0['None', 300, 12, 24]"
res5b_branch2b,Conv,"re_lu_15/Relu:0['None', 300, 12, 24], res5b_branch2b_W_newUnknown, res5b_branch2b_B_newUnknown","convolution_output['None', 300, 12, 24]"
tf_op_layer_add_7/add_7,Add,"re_lu_14/Relu:0['None', 300, 12, 24], convolution_output['None', 300, 12, 24]","tf_op_layer_add_7/add_7:0['None', 300, 12, 24]"
re_lu_16_clip,Clip,"tf_op_layer_add_7/add_7:0['None', 300, 12, 24], clip_minUnknown","re_lu_16/Relu:0['None', 300, 12, 24]"
Transpose2,Transpose,"re_lu_16/Relu:0['None', 300, 12, 24]","permute_feature/transpose:0['None', 24, 12, 300]"
flatten_feature,Reshape,"permute_feature/transpose:0['None', 24, 12, 300], shape_tensor2Unknown","flatten_feature/Reshape:0['None', 24, 3600]"
Transpose,Transpose,"flatten_feature/Reshape:0['None', 24, 3600]","lstm_X[24, 'None', 3600]"
lstm,LSTM,"lstm_X[24, 'None', 3600], lstm_WUnknown, lstm_RUnknown, lstm_BUnknown, Unknown, Unknown, Unknown, Unknown","lstm_Y[24, 1, 'None', 512], lstm_Y_h[1, 'None', 512], lstm_Y_c[1, 'None', 512]"
Squeeze,Squeeze,"lstm_Y[24, 1, 'None', 512]","lstm_y_squeezed[24, 'None', 512]"
Transpose1,Transpose,"lstm_y_squeezed[24, 'None', 512]","lstm/transpose_1:0['None', 24, 512]"
td_dense_reshape_0,Reshape,"lstm/transpose_1:0['None', 24, 512], shape_tensorUnknown","lstm/transpose_1_reshape_0:0['None', 512]"
dense,MatMul,"lstm/transpose_1_reshape_0:0['None', 512], td_dense/kernel:0Unknown","dense0['None', 36]"
Add,Add,"dense0['None', 36], td_dense/bias:0Unknown","biased_tensor_name['None', 36]"
td_dense_reshape_1,Reshape,"biased_tensor_name['None', 36], shape_tensor1Unknown","td_dense/Reshape_1:0['None', 24, 36]"
softmax,Softmax,"td_dense/Reshape_1:0['None', 24, 36]","softmax/Softmax:0['None', 24, 36]"
ArgMax_argmax,ArgMax,"softmax/Softmax:0['None', 24, 36]","ori_output_id['None', 24]"
Max_reduce_min,ReduceMax,"softmax/Softmax:0['None', 24, 36]","tf_op_layer_Max['None', 24]"
cast_output_id,Cast,"ori_output_id['None', 24]","tf_op_layer_ArgMax['None', 24]"
